fakultas,suara,sah,jumlah,persentase_dari_suara_sah_dalam_dapil,persentase_dari_seluruh_suara_dalam_dapil
FEB,Calon DPM nomor urut 1,true,84,15.384615384615385,15.384615384615385
FEB,Calon DPM nomor urut 2,true,181,33.15018315018315,33.15018315018315
FEB,Calon DPM nomor urut 3,true,51,9.340659340659341,9.340659340659341
FEB,Calon DPM nomor urut 4,true,125,22.893772893772894,22.893772893772894
FEB,Calon DPM nomor urut 5,true,105,19.23076923076923,19.23076923076923
FEB,(b) Dapil DPM tidak sesuai,false,0,,0
FEB,(c) Di luar waktu pemungutan suara,false,0,,0
FH,Calon DPM nomor urut 1,true,177,50.86206896551724,50.57142857142857
FH,Calon DPM nomor urut 2,true,64,18.39080459770115,18.285714285714285
FH,Calon DPM nomor urut 3,true,44,12.64367816091954,12.571428571428571
FH,Calon DPM nomor urut 4,true,63,18.103448275862068,18
FH,(b) Dapil DPM tidak sesuai,false,2,,0.5714285714285714
FH,(c) Di luar waktu pemungutan suara,false,0,,0
FISIB,Calon DPM nomor urut 1,true,167,29.24693520140105,29.144851657940663
FISIB,Calon DPM nomor urut 2,true,90,15.761821366024519,15.706806282722512
FISIB,Calon DPM nomor urut 3,true,82,14.360770577933451,14.31064572425829
FISIB,Calon DPM nomor urut 4,true,161,28.19614711033275,28.097731239092496
FISIB,Calon DPM nomor urut 5,true,71,12.43432574430823,12.390924956369982
FISIB,(b) Dapil DPM tidak sesuai,false,2,,0.34904013961605584
FISIB,(c) Di luar waktu pemungutan suara,false,0,,0
FKis,Calon DPM nomor urut 1,true,159,46.76470588235294,46.62756598240469
FKis,Calon DPM nomor urut 2,true,181,53.23529411764706,53.0791788856305
FKis,(b) Dapil DPM tidak sesuai,false,1,,0.2932551319648094
FKis,(c) Di luar waktu pemungutan suara,false,0,,0
FP,Calon DPM nomor urut 1,true,297,100,99.33110367892976
FP,(b) Dapil DPM tidak sesuai,false,0,,0
FP,(c) Di luar waktu pemungutan suara,false,2,,0.6688963210702341
FT,Calon DPM nomor urut 1,true,258,34.217506631299734,34.03693931398417
FT,Calon DPM nomor urut 2,true,231,30.636604774535808,30.474934036939313
FT,Calon DPM nomor urut 3,true,265,35.145888594164454,34.96042216358839
FT,(b) Dapil DPM tidak sesuai,false,4,,0.5277044854881267
FT,(c) Di luar waktu pemungutan suara,false,0,,0
,(a) Tidak terdaftar dalam daftar pemilih,false,40,,
